年号纪年,公元纪年
北宋后期及南宋,1085
北宋徽宗朝,1100
北宋徽宗大观二年六月二十九日,1108
北宋徽宗政和二年（1112）九月,1112
北宋前期,960
北宋钦宗靖康间,1126
北宋神宗元丰五年四月,1082
北宋时期,960
北宋元丰间,1078
北宋元丰五年（1082）五月,1082
北宋元丰五年五月,1082
北宋元祐二年（1087）七月四日,1087
北宋元祐二年七月四日,1087
北宋元祐三年（1088）闰十二月十八日,1088
北宋哲宗元祐三年（1088）闰十二月十八日,1088
北宋哲宗元祐三年（1088）闰十二月十八日（庚申）,1088
崇宁间,1102
崇宁五年正月三十日,1106
淳熙十三年,1186
淳熙时,1174
大观三年六月,1109
大观元年（1107）十一月,1107
大观元年二月二十四日,1107
大观元年十一月,1107
徽宗崇宁四年二月,1105
徽宗崇宁元年（1102）,1102
建炎三年,1129
建炎三年（1129）,1129
建炎三年八月,1129
建炎四年,1130
建炎四年八月,1130
靖康时,1126
靖康元年（1126）十一月,1126
隆兴初,1163
隆兴后,1165
隆兴元年,1163
南宋,1127
南宋建炎,1127
南宋建炎、绍兴间,1127
南宋建炎初,1127
南宋建炎三年,1129
南宋建炎三年（1129）,1129
南宋隆兴元年（1163）,1163
南宋绍兴,1131
南宋绍兴初,1131
南宋绍兴二年（1132）九月六日,1132
南宋绍兴十五年,1145
乾道六年,1170
乾道六年初,1170
乾道六年五月四日,1170
乾道时,1165
绍圣三年,1096
绍圣元年（1094）,1094
绍兴间,1131
绍兴末,1162
绍兴七年（1137）正月一日,1137
绍兴三年,1133
绍兴十五年,1145
绍兴五年,1135
宋前期,960
宋沿置,960
熙宁八年（1075）,1075
熙宁八年（1075）九月,1075
熙宁变法期间,1069
孝宗隆兴时,1163
宣和七年四月二十七日,1125
元丰改制,1078
元丰六年（1083）正月,1083
元丰三年八月十四日,1080
元丰五年,1082
元丰五年四月二十三日,1082
元丰五年五月,1082
元丰新制,1078
元祐,1086
元祐初,1086
元祐二年（1087）七月四日,1087
元祐后,1094
元祐三年（1088）闰十二月十八日（庚申）,1088
元祐四年（1089）,1089
哲宗朝,1077
哲宗元祐、绍圣间,1086
哲宗元祐元年十月四日,1086
政和二年（1112）九月,1112
政和三年（1113）六月十四日,1113
